id,name,city,country,boundary_straight_m,boundary_square_m,pitch_type,surface,floodlights,capacity,operational_status,soil_details,total_matches,avg_first_inn_runs,avg_second_inn_runs,bat_factor,pace_index,boundary_rate
298,AMI Stadium,Christchurch,New Zealand,72,68,Natural,Grass,1,38628,Permanently Closed,Decommissioned after the 2011 earthquake. Replaced by Hagley Oval.,,,,,,
232,"Achimota Senior Secondary School A Field, Accra",Accra,Ghana,65,60,Natural,Grass,0,500,Operational,Local Red Laterite: High iron content; produces lower bounce.,8,154.25,109.125,0.9982311540533793,0.8846153846153846,0.11395713538944068
233,"Achimota Senior Secondary School B Field, Accra",Accra,Ghana,65,60,Natural,Grass,0,500,Operational,Local Red Laterite: Primarily used for school and local league play.,6,132.83333333333334,94.5,0.966728787989503,0.8505747126436781,0.11094452773613193
3,Adelaide Oval,Adelaide,Australia,82,62,Drop-in,Grass,1,53500,Operational,Athelstone Clay: Locally sourced; the most consistent drop-in soil in Australia.,92,167.72826086956522,148.7826086956522,1.0662460803248401,0.9261565836298933,0.15609981515711646
68,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,70,65,Natural,Grass,1,4000,Operational,Nandipur Clay: Imported from Pakistan to ensure subcontinental conditions.,108,149.38888888888889,133.89814814814815,0.9683506401053626,0.8876967095851216,0.13903381257716357
97,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Oman,68,64,Natural,Grass,1,3000,Operational,Nandipur Clay: Used for associate qualifiers and domestic T20s.,29,149.31034482758622,124.24137931034483,0.9775004980887063,0.8951612903225806,0.13905645784996132
211,"Amini Park, Port Moresby",Port Moresby,PNG,65,62,Natural,Grass,0,2000,Operational,Local PNG Clay: Sourced from Central Province; historically spin-friendly.,17,129.11764705882354,92.47058823529412,0.9227580430181062,0.8663366336633663,0.0931940129906806
229,"Arnos Vale Ground, Kingstown, St Vincent",Kingstown,St Vincent,72,68,Natural,Grass,1,18000,Operational,Volcanic Clay: Upgraded with floodlights for the 2024 T20 World Cup.,8,141.5,120.75,0.9747607854502174,0.8515625,0.13059125964010282
321,"Arun Jaitley Stadium, Delhi",Delhi,India,68,65,Natural,Grass,1,35200,Operational,Yamuna Silt: Sourced from the local riverbed; traditionally low and slow.,104,172.0,157.16504854368932,1.0907228573730317,0.867862969004894,0.1766302146618064
341,Aurora Stadium,Launceston,Australia,85,70,Drop-in,Grass,1,15500,Operational,Northern Tas Loam: AFL-sized oval used for Hobart Hurricanes home games.,8,143.125,113.375,0.9777521069388557,0.9263157894736842,0.12409638554216867
274,"Ballpark Ground, Graz",Graz,Austria,60,55,Synthetic,Grass,0,200,Operational,Synthetic Matting: Durable mat over concrete to withstand alpine winters.,,,,,,
42,Barabati Stadium,Cuttack,India,70,65,Natural,Grass,1,45000,Operational,Maharashtra Red Soil: Recently imported to improve pace and bounce.,11,160.8181818181818,137.27272727272728,1.0128191959683166,0.8814814814814815,0.15521924718665114
189,"Barsapara Cricket Stadium, Guwahati",Guwahati,India,72,68,Natural,Grass,1,46000,Operational,Odisha Black Soil: Imported clay used to create high-scoring T20 tracks.,8,181.25,172.0,1.0479331110953694,0.8901098901098901,0.19001528273051452
7,Bay Oval,Mt Maunganui,New Zealand,75,70,Natural,Grass,1,10000,Operational,"Patumahoe Clay: Sourced from South Auckland; noted for true, fair bounce.",18,157.05555555555554,148.5,1.005629643228041,0.896551724137931,0.16917399943230202
127,Bayer Uerdingen Cricket Ground,Krefeld,Germany,65,60,Natural,Grass,0,1000,Operational,Ongar Loam: Imported from the UK to maintain ICC European standards.,35,141.4,112.68571428571428,0.9433753864665521,0.8402366863905325,0.12577239958805356
212,"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,Malaysia,68,64,Natural,Grass,0,1000,Operational,Local Alluvial Clay: Sourced from the Klang Valley; requires high maintenance.,64,122.390625,94.49180327868852,0.8388906540055895,0.8926014319809069,0.09690844233055886
202,"Belgrano Athletic Club Ground, Buenos Aires",Buenos Aires,Argentina,65,60,Natural,Grass,0,500,Operational,Pampas Black Soil: Rich local soil; traditionally low and slow bounce.,10,151.4,113.0,0.9918156424265493,0.8709677419354839,0.12742268041237115
20,Bellerive Oval,Hobart,Australia,80,66,Natural,Grass,1,20000,Operational,Tasmanian Black Soil: Local soil; tends to favor seamers under the lights.,82,164.5731707317073,150.0493827160494,1.0484922607065335,0.9255213505461768,0.156944079810974
