ID,Stadium Name,City,Country,Straight (m),Square (m),Pitch Type,Surface,Floodlights,Capacity,Operational Status,Special Soil Details & Origin
298,AMI Stadium,Christchurch,New Zealand,70-75,65-70,Natural,Grass,Yes,"38,628",Permanently Closed,Decommissioned after the 2011 earthquake. Replaced by Hagley Oval.
232,Achimota School A Field,Accra,Ghana,65,60,Natural,Grass,No,500,Operational,Local Red Laterite: High iron content; produces lower bounce.
233,Achimota School B Field,Accra,Ghana,65,60,Natural,Grass,No,500,Operational,Local Red Laterite: Primarily used for school and local league play.
3,Adelaide Oval,Adelaide,Australia,82,62,Drop-in,Grass,Yes,"53,500",Operational,Athelstone Clay: Locally sourced; the most consistent drop-in soil in Australia.
68,Al Amerat (Turf 1),Al Amarat,Oman,70,65,Natural,Grass,Yes,"4,000",Operational,Nandipur Clay: Imported from Pakistan to ensure subcontinental conditions.
97,Al Amerat (Turf 2),Al Amarat,Oman,68,64,Natural,Grass,Yes,"3,000",Operational,Nandipur Clay: Used for associate qualifiers and domestic T20s.
211,Amini Park,Port Moresby,PNG,65,62,Natural,Grass,No,"2,000",Operational,Local PNG Clay: Sourced from Central Province; historically spin-friendly.
229,Arnos Vale Ground,Kingstown,St Vincent,72,68,Natural,Grass,Yes,"18,000",Operational,Volcanic Clay: Upgraded with floodlights for the 2024 T20 World Cup.
321,Arun Jaitley Stadium,Delhi,India,68,65,Natural,Grass,Yes,"35,200",Operational,Yamuna Silt: Sourced from the local riverbed; traditionally low and slow.
341,Aurora Stadium,Launceston,Australia,85,70,Drop-in,Grass,Yes,"15,500",Operational,Northern Tas Loam: AFL-sized oval used for Hobart Hurricanes home games.
274,Ballpark Ground,Graz,Austria,60,55,Synthetic,Grass,No,200,Operational,Synthetic Matting: Durable mat over concrete to withstand alpine winters.
42,Barabati Stadium,Cuttack,India,70,65,Natural,Grass,Yes,"45,000",Operational,Maharashtra Red Soil: Recently imported to improve pace and bounce.
189,Barsapara Stadium,Guwahati,India,72,68,Natural,Grass,Yes,"46,000",Operational,Odisha Black Soil: Imported clay used to create high-scoring T20 tracks.
7,Bay Oval,Mt Maunganui,New Zealand,75,70,Natural,Grass,Yes,"10,000",Operational,"Patumahoe Clay: Sourced from South Auckland; noted for true, fair bounce."
127,Bayer Uerdingen Ground,Krefeld,Germany,65,60,Natural,Grass,No,"1,000",Operational,Ongar Loam: Imported from the UK to maintain ICC European standards.
212,Bayuemas Oval,Kuala Lumpur,Malaysia,68,64,Natural,Grass,No,"1,000",Operational,Local Alluvial Clay: Sourced from the Klang Valley; requires high maintenance.
202,Belgrano Athletic Club,Buenos Aires,Argentina,65,60,Natural,Grass,No,500,Operational,Pampas Black Soil: Rich local soil; traditionally low and slow bounce.
20,Bellerive Oval,Hobart,Australia,80,66,Natural,Grass,Yes,"20,000",Operational,Tasmanian Black Soil: Local soil; tends to favor seamers under the lights.
89,Bermuda National Stadium,Hamilton,Bermuda,70,65,Natural,Grass,Yes,"8,500",Operational,Bermuda Red Clay: Volcanic soil with excellent drainage properties.
145,Ekana Cricket Stadium,Lucknow,India,72,68,Natural,Grass,Yes,"50,000",Operational,Hybrid Square: Features both Red Soil (Mumbai) and Black Soil (Local) pitches.
286,Matiur Rahman Stadium,Chattogram,Bangladesh,68,65,Natural,Grass,No,"15,000",Operational,Local Hill Tracts Clay: Traditional silt soil that aids finger spinners.
362,Boland Park,Paarl,South Africa,70,65,Natural,Grass,Yes,"10,000",Operational,"Boland Clay: Sourced locally; noted for being a ""true"" batting surface."
282,Botkyrka Cricket Center,Stockholm,Sweden,65,60,Synthetic,Grass,No,500,Operational,Synthetic Matting: Necessary for consistency in Northern Europe.
330,Brabourne Stadium,Mumbai,India,70,65,Natural,Grass,Yes,"50,000",Operational,Kalyan Red Soil: High iron content; provides excellent pace and bounce.
129,Bready Cricket Club,Bready,Ireland,68,64,Natural,Grass,No,"3,000",Operational,Banbury Loam: Imported from the UK for ICC qualifier matches.
356,Brian Lara Stadium,Tarouba,Trinidad,72,68,Natural,Grass,Yes,"15,000",Operational,Central Trinidad Clay: Modern square designed for consistent bounce.
56,The Gabba,Brisbane,Australia,75,70,Natural,Grass,Yes,"42,000",Operational,Bulli Clay: Imported from NSW. The hardest/bounciest pitch in Australia.
54,Buffalo Park,East London,South Africa,72,65,Natural,Grass,Yes,"16,000",Operational,"Coastal Clay: Affected by the sea air, which helps the ball swing."
176,Bulawayo Athletic Club,Bulawayo,Zimbabwe,70,66,Natural,Grass,No,"12,000",Operational,Local Red Clay: Hard-packed soil that creates high-scoring games.
55,Carrara Oval,Gold Coast,Australia,82,70,Drop-in,Grass,Yes,"21,000",Operational,Darling Downs Black Soil: Sourced locally for drop-in squares.
128,Castle Avenue,Dublin,Ireland,65,62,Natural,Grass,No,"3,200",Operational,Ongar Loam: Imported from the UK; historic Irish cricket hub.
267,Cazaly's Stadium,Cairns,Australia,80,72,Natural,Grass,Yes,"13,500",Operational,Tropical North QLD Clay: High moisture retention; can be slow.
16,Central Broward Park,Lauderhill,USA,72,68,Natural,Grass,Yes,"20,000",Operational,Imported Clay: A mix of local and Georgia clay to mimic international tracks.
160,Central Broward (Field 2),Lauderhill,USA,70,66,Natural,Grass,No,"5,000",Operational,Same as ID 16. Used for training and secondary matches.
295,Stormont,Belfast,Ireland,70,65,Natural,Grass,No,"7,000",Operational,Banbury Loam: Imported from the UK; doesn't break up in damp weather.
269,Clayton Panama,Panama City,Panama,60,55,Synthetic,Grass,No,500,Operational,AstroTurf over Concrete: Vital for playing after tropical rains.
76,College Field,St Peter Port,Guernsey,65,60,Natural,Grass,No,"1,000",Operational,English Loam: Imported to maintain a traditional grass square.
115,Coolidge Cricket Ground,Antigua,Antigua,68,64,Natural,Grass,Yes,"5,000",Operational,Local Antigua Clay: Known as the CWI high-performance training hub.
10,County Ground,Taunton,UK,65,60,Natural,Grass,Yes,"8,500",Operational,"Oxfordshire Loam: Known for being a high-scoring, small-boundary venue."
